Der findes ingen evolutionsteori. Kun en liste over dyr, Chuck Norris har tilladt at leve.;3
Chuck Norris sover ikke. Han venter.;3
Der er ingen hage under Chuck Norris' skæg. Der er endnu en knytnæve.;3
Når bussemanden går i seng, kigger han under sengen efter Chuck Norris.;3
Det ydre rum eksisterer, fordi det ikke tør være på samme planet som Chuck Norris.;3
Chuck Norris er grunden til, at Holger gemmer sig.;3
Når Chuck Norris laver armbøjninger, løfter han ikke sig selv op, han skubber jorden ned.;3
Chuck Norris' hånd er den eneste hånd, der kan slå en royal straight flush.;3
Der findes ikke global opvarmning. Chuck Norris frøs, så han skruede lidt op for solen.;3
Chuck Norris bruger ikke ur. Han bestemmer, hvad klokken er.;3
Der findes ikke racer, bare en samling af mennesker, Chuck Norris har banket til forskellige nuancer af gul og sort.;3
Chuck Norris kan dividere med 0.;3
Chuck Norris vandt engang verdensmesterskabet i poker med en joker, et gå-i-fængsel kort fra Matador og den grønne 4-er fra UNO.;3
Slår du op i ordbogen under 'offer', står der: 'en, der har mødt Chuck Norris'.;3
Chuck Norris bowler ikke strikes. Han rammer bare en tilfældig kegle, så besvimer de andre.;3
Chuck Norris kan se '60 Minutes' på et kvarter.;3
Bermuda-trekanten var oprindeligt Bermuda-firkanten, indtil Chuck Norris blev sur på et af hjørnerne.;3
Superman sover i en Chuck Norris-pyjamas.;3
Chuck Norris byggede Rom på en dag.;3
Chuck Norris er den eneste, der har vundet en glo-konkurrence mod Stevie Wonder.;3
Når Hulk bliver gal, bliver han til Chuck Norris.;3
Giraffer er efterkommere fra den hest, Chuck Norris gav en uppercut.;3
Alle elsker Raymond .. undtagen Chuck Norris.;3
Chuck Norris slår både sten, papir og saks.;3
Universet udvider sig, fordi det prøver at komme væk fra Chuck Norris.;3
Når Arnold siger 'I'll be back', er det underforstået, at han vil hente Chuck Norris.;3
Tyrene i Pamplona løber, fordi de har Chuck Norris lige i hælene.;3
Chuck Norris bestemmer, hvor mange decimaler pi har.;3
Chuck Norris byggede 'stairway to heaven'.;3
Chuck Norris kan få black jack med et kort.;3
Chuck Norris bruger kun stuntmænd i tyde-scener.;3
Chuck Norris bærer Orions bælte.;3
Chuck Norris var som ridder ved Kong Arthurs hof kendt som Sir BeatALot.;3
Når Chuck Norris skærer løg, græder løgene.;3
Chuck Norris har talt til uendelig ... 2 gange!;3
Chuck Norris besøgte engang Jomfruøerne. Nu hedder de Øerne.;3
Chuck Norris har ikke et alkoholproblem, alkohol har et Chuck Norris-problem.;3
