En mand, der begår en fejl og ikke retter den, begår endnu en fejl.;Kung Fu Tzu;5
Den, som aldrig gør en fejl, gør ikke så meget andet heller.;George Bernard Shaw;5
Når forandringens vinde blæser er der nogle der bygger læhegn, andre bygger vindmøller.;Gammelt kinesisk ordsprog;5
Hvis du altid gør, hvad du altid har gjort, vil du altid få, hvad du altid har fået.;Stanley Zarowin;5
Fantasi er vigtigere end viden.;Albert Einstein;5
Kvalitet er en vane, ikke en handling.;Aristoteles;5
At indse, at man er uvidende, er et godt skridt på vejen mod kundskab.;Benjamin Disraeli;5
At leve godt og lykkeligt er intet andet end at leve ærligt og retsindigt.;Cicero;5
Der er intet geni uden en smule galskab.;Aristoteles;5
Du kan ikke lære erfaring. Du må gennemleve den.;Albert Camus;5
En ekspert er en person, som har begået alle de fejl, som det er muligt at begå inden for et begrænset område.;Niels Bohr;5
At fejle er menneskeligt, at tilgive er guddommeligt.;Cicero;5
Har man ingen karakter, må man skaffe sig leveregler.;Albert Camus;5
Hvis du agter dig at erhverve navn og anseelse, da hold venskab med de store, hvis du derimod vil lade dig nøje med en god samvittighed, da gør vel mod almuen.;Ludvig Holberg;5
I en mands liv er der to tragedier: at have nået sine mål, og ikke at have nået dem.;Friedrich Nietzsche;5
Intet får mig til at tro, at Gud spiller terning med universet.;Albert Einstein;5
Ikke alene spiller Gud terninger, han snyder også.;Niels Bohr;5
Jo mere man vil, desto mere kan man.;Charles Baudelaire;5
Jeg ved kun, at jeg intet ved.;Sokrates;5
Lykken ligger ikke i selve lykken, men i arbejdet med at opnå den.;Fjodor Dostojevsky;5
Meget få mennesker lever i dag - de fleste forbereder sig på at leve i morgen.;Jonathan Swift;5
Når man taler til svinet i et menneske, får man svinet i tale. Når man taler til kongen i et menneske, får man kongen i tale.;Ukendt;5
Det er ikke fordi jeg er bange for at dø .. jeg vil bare ikke være der, når det sker.;Woody Allen;5
Du kan komme meget længere med et venligt ord og et gevær, end du kan med et venligt ord alene.;Al Capone;5
En klassiker er en bog, folk roser, men ikke læser.;Mark Twain;5
En kritiker er en mand, der kender vejen, men ikke kan køre vognen.;Kenneth Tyran;5
Jeg er tilhænger af alle religioner. Jeg ville ikke bryde mig om at tabe det evige liv på grund af en teknisk detalje.;Bob Hope;5
Tal i vrede, og du kommer til at holde den bedste tale, du nogensinde har fortrudt.;Winston Churchill;5
I Indien findes der ikke én politiker, der er modig nok til at forsøge at forklare folket, at køer kan ædes.;Indira Gandhi;5
Jeg vil bekæmpe dine meninger, men jeg vil dø for din ret til at have dem.;Francois de Voltaire;5
Kun døde fisk flyder med strømmen.;Ukendt;5
Det vigtige er at blive ved med at stille spørgsmål.;Albert Einstein;5
Jeg får ofte at vide at jeg er heldig. Sjovt nok er det sådan, at jo mere jeg øver mig, jo mere heldig er jeg.;Jack Nicklaus, golfspiller;5
Du forstår ikke noget, sådan rigtigt, før du kan forklare det til din bedstemor.;Albert Einstein;5
Hvis du skal have bygget et skib, skal du ikke kalde folk sammen for at samle træ og tømmer. Du skal ikke give dem opgaver og instruktioner, men vække deres længsel efter det åbne hav.;Antoine de Saint-Exupéry;5
Forøg aldrig, udover hvad der er nødvendigt, antallet af entiteter, der er påkrævet for at forklare hvad som helst.;William of Ockham (1285-1349);5
Hvordan kan vi egentlig vide, om Jorden ikke er en anden planets helvede?;Aldous Huxley;5
Hvis det eneste værktøj, du ejer, er en hammer, begynder ethvert problem at ligne et søm.;Abraham Maslow;5
Enhver tilstrækkelig avanceret teknologi er ikke til at skelne fra magi.;Arthur C. Clarke;5
Fejlen ved verden er, at de dumme er så skråsikre på alting og de begavede så fulde af tvivl.;Bertrand Russell;5
Kend reglerne så du ved, hvordan du bryder dem ordentligt.;Dalai Lama;5
